胡豆	蚕豆
汤姆是个胖子	汤姆是个胖子
汤姆是个学生	汤姆是个学生
汤姆是艺术家	汤姆是艺术家
汤姆是个骗子	汤姆是个骗子
汤姆有危险	汤姆有危险
汤姆是我的朋友	汤姆是我的朋友
汤姆人很好	汤姆人很好
汤姆不是哈儿	汤姆不是傻瓜
汤姆不是英雄	汤姆不是英雄
汤姆喜欢热的	汤姆喜欢热的
汤姆丢老工作	汤姆丢了工作
汤姆看老文件	汤姆看了文件
汤姆努力学习	汤姆努力学习
汤姆走得很慢	汤姆走得很慢
汤姆会做	汤姆会做
汤姆会接受	汤姆会接受
把煤气关老	把煤气关了
我们接受支票	我们接受支票
我们可全指望你老	我们可全指望你了
我们可全靠你老	我们可全靠你了
我们打算赢	我们打算赢
我们有两只耳朵	我们有两只耳朵
我们帮助穷人	我们帮助穷人
我们才刚搬进来	我们才刚搬进来
我们住在一起	我们住在一起
我们比赛输老	我们比赛输了
我们可能需要一些	我们可能需要一些
我们需要汤姆回来	我们需要汤姆回来
我们必须走老	我们必须走了
我们从不放弃	我们从不放弃
我们谈谈比较好	我们谈谈比较好
后会有期	后会有期
我们会保持安静	我们会保持安静
我们过一哈再谈	我们过一会再谈
我们都饿老	我们都饿了
我们是同学	我们是同学
我们在高兴地玩	我们在高兴地玩
我们很匆忙	我们很匆忙
我们很急	我们很急
我们不傻	我们不傻
欢迎到日本	欢迎到日本
多好的主意啊	多好的主意啊
她说老啥子	她说了什么
你买老啥子	你买了什么
您有啥子	您有什么
你知道啥子	你知道什么
你做啥子	你做什么
你想要啥子	你想要什么
它是关于啥子	它是关于什么
我该做啥子	我该做什么
啥子吵醒你老	什么吵醒你了
他在藏啥子	他在藏甚么
她在做啥子	她在做什么
你叫啥子名字	你叫什么名字
您叫啥子名字	您叫什么名字
叫啥子名字	叫什么名字
我的书在哪	我的书在哪
我的位子在哪儿	我的位子在哪儿
老板在哪里	老板在哪里
你的狗在哪里	你的狗在哪里
哪个决定老那件事	谁决定了那件事
哪个找到老我的包	谁找到了我的包
哈姆雷特是哪个写的	哈姆雷特是谁写的
轮到哪个老	轮到谁了
你为啥子在这	你为什么在这
你为啥子辞职	你为什么辞职
他为啥子在躲藏	他为什么在躲藏
你会参加吗	你会参加吗
冬季快来老	冬季快来了
你脸红老	你脸红了
你无法说“不”	你无法说“不”
你得行动老	你得行动了
你有必要了解	你有必要了解
你不应该切	你不应该去
你缺乏耐心	你缺乏耐心
你挡倒老我的路	你挡住了我的路
你不是歌手	你不是歌手
我反应过度老吗	我反应过度了吗
他们是学生吗	他们是学生吗
你们都准备好老吗	你们都准备好了吗
你现在高兴吗	你现在高兴吗
你闻吗	你闻吗
对他人要友善	对他人要友善
小心狗	小心狗
注意小偷	注意小偷
鸟儿筑巢	鸟儿筑巢
叫救护车	叫救护车
我可以吃一口吗	我可以吃一口吗
我能试一哈吗	我能试一下吗
我们能信任他们吗	我们能信任他们吗
你能冷冻它吗	你能冷冻它吗
你能跳绳吗	你能跳绳吗
给我香槟谢谢	给我香槟谢谢
从中选择一人	从中选择一人
圣诞节快到老	圣诞节快到了
收拾房间	收拾房间
快来这里	快来这里
来嘛快一点	来吧快一点
来嘛我们一起切	来吧我们一起去
来嘛摸一哈	来吧摸一下
来嘛相信我	来吧相信我
您会告诉我吗	您会告诉我吗
发牌给我们	发牌给我们
你借它老吗	你借它了吗
你有买果汁吗	你有买果汁吗
我需要做手术吗	我需要做手术吗
你相信我吗	你相信我吗
你喝啤酒吗	你喝啤酒吗
你觉得幸运吗	你觉得幸运吗
你觉得累吗	你觉得累吗
你有车吗	你有车吗
您有车吗	您有车吗
你有地图吗	你有地图吗
你喜欢中国吗	你喜欢中国吗
你喜欢果汁吗	你喜欢果汁吗
你喜欢音乐吗	你喜欢音乐吗
你爱音乐吗	你爱音乐吗
你明白老吗	你明白了吗
别让汤姆死老	别让汤姆死了
别让我失望	别让我失望
不要拉我的腿	不要拉我的腿
别对倒我吼	别对着我吼
莫碰这些	不要碰这些
地球是一个行星	地球是一个行星
每个人都好	每个人都好
大家笑老	大家笑了
大家都认识我	大家都认识我
大家都还行	大家都还行
一切都很糟糕	一切都很糟糕
欢迎留下来	欢迎留下来
进你的车里	进你的车里
把这本书给她	把这本书给她
上帝保佑美国	上帝保佑美国
神无处不在	神无处不在
钟响过老吗	钟响过了吗
欲速则不达	欲速则不达
他开始喊叫	他开始喊叫
他亲自来老	他亲自来了
他来看我老	他来看我了
他不能帮你	他不能帮你
他不能游泳	他不能游泳
他昨天切世老	他昨天去世了
他没听	他没听
他有些钢笔	他有些钢笔
他有七个儿子	他有七个儿子
他有三个儿子	他有三个儿子
是他自己做的	是他自己做的
他是一个怪人	他是一个怪人
他不过是个孩子	他不过是个孩子
他在看电视	他在看电视
他喜欢睡觉	他喜欢睡觉
他给我做老套衣服	他给我做了套衣服
他划老一根火柴	他划了一根火柴
他出国留学老	他出国留学了
他把球扔老	他把球扔了
他说老实话	他说了实话
他转动钥匙	他转动钥匙
他会回来的	他会回来的
他赢得一切老	他赢得一切了
他写老一封信	他写了一封信
他有点活泼	他有点活泼
他还没到这里	他还没到这里
这是你的书	这是你的书
这是找零	这是找零
它有多复杂	它有多复杂
我啷个晓得	我怎么知道
你的测验啷个样	你的测验怎么样
你的旅行啷个样	你的旅行怎么样
我同意她	我同意她
我是素食主义者	我是素食主义者
我喜欢车	我喜欢车
我来自四国	我来自四国
我在家里	我在家里
我在右边	我在右边
我现在正在学习	我现在正在学习
我每天都洗澡	我每天都洗澡
我相信爱情	我相信爱情
我买老那辆车	我买了那辆车
我可以安慰她	我可以安慰她
我可以独自做	我可以独自做
我会开车	我会开车
我几乎不能走路	我几乎不能走路
我会弹萧邦	我会弹萧邦
我会抓足球	我会踢足球
我会打网球	我会打网球
我受不老他	我受不了他
我没觉得不好	我没觉得不好
我不接受	我不接受
我不怪你	我不怪你
我感觉不舒服	我感觉不舒服
我不喜欢吃鸡蛋	我不喜欢吃鸡蛋
我不喜欢鸡蛋	我不喜欢鸡蛋
我不喜欢小孩	我不喜欢小孩
我不喜欢	我不喜欢
我不喜欢红酒	我不喜欢红酒
我不后悔	我不后悔
我给老你一本书	我给了你一本书
我被蜜蜂蛰老一哈	我被蜜蜂蛰了一下
我把我的头发剪老	我把我的头发剪了
我7点起床老	我7点起床了
我做噩梦老	我做噩梦了
我恨蚊子	我恨蚊子
我有一台电脑	我有一台电脑
我有一个女儿	我有一个女儿
我头痛	我头痛
我有个提案	我有个提案
我有一个意见	我有一个意见
我有许多唱片	我有许多唱片
我莫得朋友	我没有朋友
我没改变	我没改变
我没有遇见她	我没有遇见她
我希望能见到你	我希望能见到你
我喜欢短发	我喜欢短发
我很喜欢雪	我很喜欢雪
我喜欢你的房子	我喜欢你的房子
我喜欢你的鞋子	我喜欢你的鞋子
我的行李丢老	我的行李丢了
我需要很多书	我需要很多书
我需要更多的钱	我需要更多的钱
我坐在他旁边	我坐在他旁边
我看见老他跑步	我看见了他跑步
我看老日出	我看了日出
我该高兴	我该高兴
我在学校读书	我在学校读书
我认我会留下	我认我会留下
我想我是对的	我想我是对的
我试图逃跑	我试图逃跑
我通常在外面吃饭	我通常在外面吃饭
我想让汤姆赢	我想让汤姆赢
我要回家	我要回家
我很想家	我很想家
我继续阅读	我继续阅读
我会尽力而为	我会尽力而为
我希望我可以切	我希望我可以去
我在两点半起床	我在两点半起床
我中奖老	我中奖了
我为一家银行工作	我为一家银行工作
我工作数小时	我工作数小时
我担心他	我担心他
我自己写老它	我自己写了它
我写老这本书	我写了这本书
我想要跳舞	我想要跳舞
我要戴头盔	我要戴头盔
我会晚一点回来	我会晚一点回来
我会自己走	我会自己走
我来付账	我来付账
我会告诉我的妻子	我会告诉我的妻子
我是个新生	我是个新生
我能说	我能说
我不擅长运动	我不擅长运动
我很有耐心	我很有耐心
我要输老	我要输了
我不是学生	我不是学生
我不太聪明	我不太聪明
我站在汤姆一边	我站在汤姆一边
我还不明白	我还不明白
汤姆是好人	汤姆是好人
那是纯金吗	那是纯金吗
浴室干净吗	浴室干净吗
聚会结束老吗	聚会结束了吗
这是你的书吗	这是你的书吗
今天有风	今天有风
它是我们的秘密	它是我们的秘密
这是一个好的开端	这是一个好的开端
都是我的错	都是我的错
已经是早上七点老	已经是早上七点了
这是机密	这是机密
这里够热	这里够热
它是人的天性	它是人的天性
它是我兄弟的	它是我兄弟的
不是我的错	不是我的错
不是那么远	不是那么远
这是免费的	这是免费的
这是我们的荣幸	这是我们的荣幸
它真重	它真重
这是不证自明的	这是不证自明的
到谈话的时间老	到谈话的时间了
它很特别	它很特别
这里是温暖的	这里是温暖的
靠右侧通行	靠右侧通行
让我们开始嘛	让我们开始吧
干活吧噻	干活吧
切踢足球噻	去踢足球吧
让我们握手噻	让我们握手吧
让我们看看噻	让我们看看吧
我们休息一哈噻	我们休息一下吧
生活是美丽的	生活是美丽的
人生良苦	人生良苦
好久不见	好久不见
真是好久不见啊	真是好久不见啊
看着我的眼睛	看着我的眼睛
我爸爸很忙	我爸爸很忙
我肩膀痛	我肩膀痛
我的胃是胀满的	我的胃是胀满的
我吃得很饱	我吃得很饱
啥子问题都莫得	什么问题都没有
一点问题都莫得	一点问题都没有
莫得任何问题	没有任何问题
接一哈电话	接一下电话
请联系我们	请联系我们
请原谅我	请原谅我
请重新考虑一哈	请重新考虑一下
请包起来	请包起来
假装你是我	假装你是我
熄灯	熄灯
把爪爪举起来	把手举起来
用英语说	用英语说
替你们脸红啊	替你们脸红啊
她开始唱歌老	她开始唱歌了
她大声诅咒	她大声诅咒
她没有走远	她没有走远
她有蓝色的眼睛	她有蓝色的眼睛
她喜欢柳橙	她喜欢柳橙
她喜欢橙子	她喜欢橙子
她看起来不快落	她看起来不快乐
快落风男	快乐风男
非常快落	非常快乐
好快落	好快乐
她卖花	她卖花
她上楼老	她上楼了
她痛哭	她痛哭
她在浴室	她在浴室
她是我女儿	她是我女儿
她不是小娃儿	她不是小孩
我该帮你吗	我该帮你吗
莫烦我	不要烦我
告诉我真相	告诉我真相
那栋房子很大	那栋房子很大
那是可燃的	那是可燃的
那是你的书	那是你的书
那真是极好的	那真是极好的
那不好笑	那不好笑
那是一只野鸡	那是一只野鸡
这是我的问题	这是我的问题
这很方便	这很方便
浴缸已经准备好老	浴缸已经准备好了
这只猫在吃东西	这只猫在吃东西
钟停老	钟停了
这只狗跑走老	这只狗跑走了
门铃儿响老	门铃儿响了
市场很大	市场很大
会议结束老	会议结束了
疼痛消失老	疼痛消失了
汤很稠	汤很稠
系统运行起来老	系统运行起来了
货车走老	货车走了
最坏的已经过切老	最坏的已经过去了
有罢工	有罢工
他们在吃午饭	他们在吃午饭
他们非常大	他们非常大
他们看不见我	他们看不见我
他们都喜欢唱歌	他们都喜欢唱歌
他们担心	他们担心
他们有危险	他们有危险
这个苹果是坏的	这个苹果是坏的
这本书就行老	这本书就行了
这可能很好玩	这可能很好玩
这张书桌是我的	这张书桌是我的
这是他的车	这是他的车
这是一个奇迹	这是一个奇迹
很美味	很美味
这很难	这很难
这很贵	这很贵
这是胡说	这是胡说
这是我母亲	这是我母亲
这太无聊老	这太无聊了
这让我难过	这让我难过
今天是礼拜四	今天是礼拜四
汤姆成老英雄	汤姆成了英雄
汤姆开始说话	汤姆开始说话
汤姆最近死老	汤姆最近死了
汤姆给老我一枝笔	汤姆给了我一枝笔
汤姆有很多猫	汤姆有很多猫
汤姆恨蜘蛛	汤姆恨蜘蛛
汤姆啥子也没听到	汤姆什么也没听见
汤姆帮老我们	汤姆帮了我们
汤姆是魔法师	汤姆是魔法师
汤姆是个真男人	汤姆是个真男人
汤姆在这里很高兴	汤姆在这里很高兴
汤姆超重老	汤姆超重了
汤姆很安静	汤姆很安静
汤姆不是不高兴	汤姆不是不高兴
汤姆喜欢编织	汤姆喜欢编织
汤姆住在我的附近	汤姆住在我的附近
汤姆热爱花卉	汤姆热爱花卉
汤姆爱唱歌	汤姆爱唱歌
汤姆做出老选择	汤姆做出了选择
汤姆想念波士顿老	汤姆想念波士顿了
汤姆抢老家银行	汤姆抢了家银行
汤姆送我切老那里	汤姆送我去了那里
汤姆闭上老眼睛	汤姆闭上了眼睛
汤姆要爆米花	汤姆要爆米花
汤姆想说话	汤姆想说话
汤姆很虚弱	汤姆很虚弱
汤姆不在床上	汤姆不在床上
汤姆在家工作	汤姆在家工作
请回来	请回来
打开收音机	打开收音机
请来两杯啤酒	请来两杯啤酒
使用它或失去它	使用它或失去它
汤姆吃惊吗	汤姆吃惊吗
那太多老吗	那太多了吗
水是液体	水是液体
我们啥子都做不老	我们什么都做不了
我们不这样认为	我们不这样认为
我们莫得秘密	我们没有秘密
我们希望汤姆没事	我们希望汤姆没事
我们必须介入	我们必须介入
我们需要更多食物	我们需要更多食物
我们需要你的帮忙	我们需要你的帮忙
我们六点开始	我们六点开始
我们那时是孩子	我们那时是孩子
我们战争胜利老	我们战争胜利了
我们没有看着	我们没有看着
我们是老朋友老	我们是老朋友了
他们是认真的吗	他们是认真的吗
您听到啥子老	您听到什么了
你做老啥子	你做了什么
你认为如何	你认为如何
这是啥子意思	这是什么意思
汤姆在说啥子	汤姆在说甚么
我们晚饭吃啥子	我们晚饭吃什么
啷个老	怎么了
你的爱好是啥子	你的爱好是什么
你们公司几点下班	你们公司几点下班
你现在在哪里呢	你现在在哪里呢
我的手表在哪里	我的手表在哪里
银行在哪里	银行在哪里
那本书在哪儿	那本书在哪儿
哪里痛	哪里痛
你的狗在哪儿	你的狗在哪儿
伏特加在哪里	伏特加在哪里
哪颗牙痛	哪颗牙痛
那是哪个发明的	那是谁发明的
这辆汽车是哪个的	这辆汽车是谁的
这台汽车是哪个的	这台汽车是谁的
这是哪个的车	这是谁的车
是哪个的错呢	是谁的错呢
这是哪个的主意	这是谁的主意
你为啥子一个人	你为什么一个人
你为啥子生气	你为什么生气
你为啥子醒着	你为什么醒着
你为啥子迟到	你为什么迟到
她为啥子要说谎	她为甚么要说谎
你会在那里吗	你会在那里吗
你愿意嫁给我吗	你愿意嫁给我吗
你要用这个吗	你要用这个吗
是的没错	是的没错
你是学生	你是学生
您是学生	您是学生
你真傻	你真傻
你来得很快	你来得很快
你没发烧	你没发烧
您要赶快些	您要赶快些
你们得走老	你们得走了
你得走老	你得走了
你知道得太多老	你知道得太多了
我被你逗乐老	我被你逗乐了
你让我快乐	你让我快乐
您可以拿倒这个	您可以拿着这个
你必须离开	你必须离开
你说太多老	你说太多了
你不会需要它	你不会需要它
你工作太努力老	你工作太努力了
你真是警惕	你真是警惕
你很聪明	你很聪明
你做老很多	你做了很多
任何人都可以做到	任何人都可以做到
你今天忙吗	你今天忙吗
你还冷吗	你还冷吗
你睁着眼吗	你睁着眼吗
你不渴吗	你不渴吗
当心它	当心它
早饭准备好老	早饭准备好了
我能看那个吗	我能看那个吗
我能看看这个吗	我能看看这个吗
我可以用你的笔吗	我可以用你的笔吗
我们现在能回去吗	我们现在能回去吗
可以原谅我吗	可以原谅我吗
跟我们一起来噻	跟我们一起来吧
进来门开着	进来门开着
来再试试看	来再试试看
你把它们带来老么	你把它们带来了么
你检查这个老吗	你检查这个了吗
你喜欢苹果吗	你喜欢苹果吗
你喜欢坐飞机吗	你喜欢坐飞机吗
你们喜欢学校吗	你们喜欢学校吗
您喜欢学校吗	您喜欢学校吗
你抓足球吗	你踢足球吗
你的牙龈流血吗	你的牙龈流血吗
很痛吗	很痛吗
别被吓坏老	别被吓坏了
不要错过公车	不要错过公车
不要放弃英语	不要放弃英语
别胡说	别胡说
你不这么认为吗	你不这么认为吗
每个人都做老那事	每个人都做了那事
所有人都是活着的	所有人都是活着的
人固有一死	人固有一死
大家都喜欢汤姆	大家都喜欢汤姆
所有人都喝醉老	所有人都喝醉了
每个人都高兴	每个人都高兴
任何事情都是重要	任何事情都是重要
内用还是外带	内用还是外带
把那个号码给我	把那个号码给我
给我报告	给我报告
给我你的手机	给我你的手机
戴上你的安全帽	戴上你的安全帽
你们吃饭老吗	你们吃饭了吗
他及时赶到	他及时赶到
他准时来老	他准时来了
他问候老你	他问候了你
他会开车	他会开车
他真的说得很好	他真的说得很好
他给老他一本书	他给了他一本书
他下老公车	他下了公车
他还没来	他还没来
他给自己投老保险	他给自己投了保险
他是个糟糕的司机	他是个糟糕的司机
他上电台老	他上电台了
他是这么的无情	他是这么的无情
他杀死老那个人	他杀死了那个人
他在我面前撒谎	他在我面前撒谎
他爱旅行	他爱旅行
他从来没说过那个	他从来没说过那个
他玩得很好	他玩得很好
他弹得很好	他弹得很好
他举起他的手	他举起他的手
他六点回来老	他六点回来了
他好像病老	他好像病了
他开老先河	他开了先河
他说话太快老	他说话太快了
他仍然爱着她	他仍然爱着她
他偷老她的手表	他偷了她的手表
他休老一周的假	他休了一周的假
他要爱	他要爱
他独自在那里	他独自在那里
他骑自行车切的	他骑自行车去的
他骑脚踏车切	他骑脚踏车去
他会等你	他会等你
他有点苍白	他有点苍白
他是个吸毒男	他是个吸毒男
他已经是个男人老	他已经是个男人了
他在靠近	他在靠近
他心情不好	他心情不好
他是我新交的朋友	他是我新交的朋友
她的头发长回来老	她的头发长回来了
她的皮肤光滑	她的皮肤光滑
她的袜子是灰色的	她的袜子是灰色的
这是我的行李	这是我的行李
他啷个找到我们的	他怎么找到我们的
这是啷个运行的	这是怎么运行的
天气怎样	天气怎样
我接受老报价	我接受了报价
我完全同意	我完全同意
我几乎从不说谎	我几乎从不说谎
我是独生子	我是独生子
我来自四川	我来自四川
我不是个老师	我不是个老师
我六英尺高	我六英尺高
我吃老炸薯条	我吃了炸薯条
我每天洗一次澡	我每天洗一次澡
我烧老纸	我烧了纸
我啥子都能吃	我甚么都能吃
我可以等你	我可以等你
我莫法相信	我没法相信
我不可以喝牛奶	我不可以喝牛奶
我不能喝牛奶	我不能喝牛奶
我拍手	我拍手
我莫得那个意思	我没有那个意思
我不想要这个	我不想要这个
我莫得汽车	我没有汽车
我莫得猫	我没有猫
我莫得狗	我没有狗
我不喜欢寿司	我不喜欢寿司
我不吸大麻	我不吸大麻
不明白	不明白
我梦到你老	我梦到你了
我切哪里都开车	我去哪里都开车
我期待你的帮助	我期待你的帮助
我感觉很舒服	我感觉很舒服
我想休息一哈	我想休息一下
我给老玛丽一本书	我给了玛丽一本书
我玩得很开心	我玩得很开心
我要他写	我要他写
我得给汤姆打电话	我得给汤姆打电话
我得说这事	我得说这事
我听到他出切老	我听到他出去了
我知道她的地址	我知道她的地址
我知道那种感觉	我知道那种感觉
我知道问题	我知道问题
我认识那些女孩	我认识那些女孩
我认识那些女人	我认识那些女人
我知道他做老	我知道他做了
我知道要说啥子	我知道要说什么
我更喜欢洛杉矶	我更喜欢洛杉矶
我很喜欢烛光	我很喜欢烛光
我喜欢数学	我喜欢数学
我喜欢那个人	我喜欢那个人
我看老看周围	我看了看周围
我丢老我的伞	我丢了我的伞
我爱苹果汁	我爱苹果汁
我另有计划	我另有计划
我那么想念她	我那么想念她
我想念我的孩子	我想念我的孩子
我如此想念你	我如此想念你
好想见到你	好想见到你
我错过老我的机会	我错过了我的机会
我需要你的意见	我需要你的意见
我打算切那里	我打算去那里
我看见他逃跑老	我看见他逃跑了
我掴老他的脸	我掴了他的脸
我每周游一次泳	我每周游一次泳
我想他会来的吧	我想他会来的吧
我想他很快落	我想他很快乐
我八点起床	我八点起床
我走路到学校	我走路到学校
我要这台相机	我要这台相机
我想切那里	我想去那里
我要红色的鞋子	我要红色的鞋子
那个时候我在家	那个时候我在家
我生于1988年	我生于1988年
我一直在期待着	我一直在期待着
我也紧张	我也紧张
我很放松	我很放松
我会继续前进	我会继续前进
但愿我有一辆车	但愿我有一辆车
但愿我很有钱	但愿我很有钱
我想请你们帮个忙	我想请你们帮个忙
我会见到你	我会见到你
我会叫汤姆回来	我会叫汤姆回来
我会需要帮助	我会需要帮助
我要一直做下切	我要一直做下去
等哈儿见	等会儿见
我会考虑一哈	我会考虑一下
我有点累	我有点累
我怕狗	我怕狗
我跟你一样高	我跟你一样高
我是从新加坡来的	我是从新加坡来的
我很高兴它结束老	我很高兴它结束了
我正要切签到	我正要去签到
我擅长滑雪	我擅长滑雪
我擅长足球	我擅长足球
我擅长网球	我擅长网球
我失去老控制	我失去了控制
我在制作电影	我在制作电影
我不感兴趣	我不感兴趣
我有点不安逸	我有点不舒服
我准备好出发老	我准备好出发了
我很着急	我很着急
我太忙老不能切	我太忙了不能去
我增加老体重	我增加了体重
我现在得走老	我现在得走了
我已经变得好多老	我已经变得好多了
我把我的表丢老	我把我的表丢了
我从来没有见过他	我从来没有见过他
无知就是幸福	无知就是幸福
这么大的够用吗	这么大的够用吗
她是你妈妈吗	她是你妈妈吗
有啥子不对吗	有什么不对吗
这就是全部吗	这就是全部吗
这是你们的苹果吗	这是你们的苹果吗
这莫得结果	这没有结果
游泳很简单	游泳很简单
它真的很便宜	它真的很便宜
它变糟老	它变糟了
那不是我的错	那不是我的错
天快要下雨老	天快要下雨了
旅行是令人快落的	旅行是令人快乐的
旅行是乐事	旅行是乐事
它会好转的	它会好转的
这个不重要	这个不重要
这不重要	这不重要
这不实用	这不实用
今天下雪	今天下雪
这太贵老	这太贵了
就让汤姆说吧	就让汤姆说吧
不要踩草地	不要踩草地
知识就是力量	知识就是力量
离我的车远一点	离我的车远一点
不要碰我的车	不要碰我的车
让我来处理	让我来处理
现实点嘛	现实点吧
我们离婚嘛	我们离婚吧
我们在这里下车嘛	我们在这里下车吧
我们不要看电视嘛	我们不要看电视吧
让我们放轻松噻	让我们放轻松吧
看看我的新车	看看我的新车
看那个房子	看那个房子
快看那个烟	快看那个烟
看看发生老啥子	看看发生了什么
爱不存在	爱不存在
玛丽的腿很漂亮	玛丽的腿很漂亮
玛丽有一双美腿	玛丽有一双美腿
我可以用支票付吗	我可以用支票付吗
也许您有道理	也许您有道理
我父亲变老老	我父亲变老了
我的手烧伤老	我的手烧伤了
我的腿还是很痛	我的腿还是很痛
我的房间面向东边	我的房间面向东边
莫得人能帮我	没有人能帮我
莫得人会看到我们	没有人会看到我们
没人能阻止我	没人能阻止我
莫得人受伤	没有人受伤
哪个也没在看她	谁也没在看她
啥子也没少	什么也没少
现在它是官方的	现在它是官方的
现在等一哈	现在等一下
要听老师的话	要听老师的话
哦那太糟糕老	哦那太糟糕了
请穿衣服	请穿衣服
请让我们晓得	请让我们知道
请唱一首歌	请唱一首歌
把书放在那里	把书放在那里
放下你的枪	放下你的枪
土星是一颗行星	土星是一颗行星
她痛哭老起来	她痛哭了起来
她很聪明	她很聪明
她很可爱	她很可爱
她爱孩子	她爱孩子
她需要我们的帮忙	她需要我们的帮忙
她戴上老她的帽子	她戴上了她的帽子
她讲中文	她讲中文
她在赶时间	她在赶时间
她赢得一切老	她赢得一切了
她是Tom的姐妹	她是Tom的姐妹
她是我的同学	她是我的同学
她只是个孩子	她只是个孩子
给我个例子	给我个例子
有人在吃东西	有人在吃东西
不要走在草地上	不要走在草地上
不要随便开玩笑	不要随便开玩笑
别开玩笑老	别开玩笑了
告诉我该做啥子	告诉我该做什么
那真有趣	那真有趣
那是我们的学校	那是我们的学校
那是好几年前	那是好几年前
真是个好主意	真是个好主意
那是一个好主意	那是一个好主意
那没啥子大不了的	那没什么大不了的
这不是我的婆娘	这不是我的妻子
真好	真好
我就喜欢它	我就喜欢它
那就是我想要的	那就是我想要的
这地区很安静	这地区很安静
这个男孩吃面包	这个男孩吃面包
汽车发生故障老	汽车发生故障了
咖啡是冷的	咖啡是冷的
这只乌鸦飞走老	这只乌鸦飞走了
危险已过切	危险已过去
玻璃脏老	玻璃脏了
锁坏老	锁坏了
飞机准备好老	飞机准备好了
问题是汤姆	问题是汤姆
夏天过切老	夏天过去了
轮胎漏气老	轮胎漏气了
我们的车走老	我们的车走了
莫得错误	没有错误
这些狗很大	这些狗很大
这些一定是假的	这些一定是假的
他们全都来老	他们全都来了
他们没听	他们没听
他们没付我钱	他们没付我钱
他们没看见我们	他们没看见我们
他们不喜欢我	他们不喜欢我
他们迫使我出来	他们迫使我出来
他们永不言弃	他们永不言弃
他们是那么年轻	他们是那么年轻
他们不会通过的	他们不会通过的
他们在一起工作	他们在一起工作
这本书小	这本书小
这本书是你的	这本书是你的
这本书很容易	这本书很容易
这把椅子很丑	这把椅子很丑
这个表是我的	这个表是我的
这房子是我的	这房子是我的
这是玛丽的狗	这是玛丽的狗
这是医院	这是医院
这是我所知道的	这是我所知道的
这就是错的	这就是错的
这可真好	这可真好
这是令人吃惊的	这是令人吃惊的
这不是西班牙语	这不是西班牙语
这不是老虎	这不是老虎
这不是给你的	这不是给你的
这个故事是真的	这个故事是真的
那些是我的裤子	那些是我的裤子
那些狗都很大	那些狗都很大
今天是五号	今天是五号
汤姆放弃老希望	汤姆放弃了希望
汤姆要食物	汤姆要食物
汤姆在战斗中死老	汤姆在战斗中死了
汤姆服从命令	汤姆服从命令
汤姆有辆旧车	汤姆有辆旧车
Tom莫得礼貌	Tom没有礼貌
Tom有三只猫	Tom有三只猫
汤姆是个好厨师	汤姆是个好厨师
汤姆总是迟到	汤姆总是迟到
汤姆也来	汤姆也来
汤姆也在哭	汤姆也在哭
汤姆要发疯	汤姆要发疯
汤姆更活跃	汤姆更活跃
汤姆现在是认真的	汤姆现在是认真的
汤姆还是不安	汤姆还是不安
Tom独自在那	Tom独自在那
汤姆不是天使	汤姆不是天使
汤姆喜欢游泳	汤姆喜欢游泳
汤姆拿我开心	汤姆拿我开心
汤姆说他会等	汤姆说他会等
汤姆教法语	汤姆教法语
汤姆在外面等	汤姆在外面等
汤姆想报仇	汤姆想报仇
汤姆不渴	汤姆不渴
汤姆的门开着	汤姆的门开着
关灯	关灯
就等一哈儿	就等一会儿
她的故事是真的吗	她的故事是真的吗
他的故事是真的吗	他的故事是真的吗
我们都睡着老	我们都睡着了
我们反对战争	我们反对战争
我们不能在这里谈	我们不能在这里谈
我们没有打断	我们没有打断
我们不卖生啤酒	我们不卖生啤酒
我们不相信汤姆	我们不相信汤姆
我们有许多目标	我们有许多目标
我们有三个娃儿	我们有三个孩子
我们啥子都晓得	我们什么都知道
我们彼此相爱	我们彼此相爱
我们爱我们的学校	我们爱我们的学校
我们需要帮助	我们需要帮助
我们应该坐下	我们应该坐下
我们学老英语	我们学了英语
我们想回家	我们想回家
我们想听听	我们想听听
我们快破产老	我们快破产了
我们很保守	我们很保守
他和我同岁	他和我同岁
我们被耍老	我们被耍了
我们已经原谅你老	我们已经原谅你了
你是士兵吗	你是士兵吗
那么多钢笔	那么多钢笔
多么强的风啊	多么强的风啊
我真是个哈儿	我真是个白痴
你在做啥子	你在做什么
老虎吃啥子东西	老虎吃什么东西
这儿发生老啥子事	这儿发生了什么事
然后发生老啥子事	然后发生了什么事
那是啥子	那是什么
刚刚发生老啥子	刚刚发生了什么
你将拥有啥子	你将拥有什么
你会做啥子	你会做什么
你在说啥子	你在说什么
这个袋子里是啥子	这个袋子里是什么
你啷个老	你怎么了
你有啥子建议呢	你有什么建议呢
你在哪读书	你在哪读书
他住在哪里	他住在哪里
他在哪里工作	他在哪里工作
哪里疼	哪里疼
我们应该切哪里	我们应该去哪里
鞋子在哪儿	鞋子在哪儿
锤子在哪里	锤子在哪里
哪顶帽子是你的	哪顶帽子是你的
哪个杯子是你的	哪个杯子是你的
哪本是你的书	哪本是你的书
哪本是你们的书	哪本是你们的书
哪本是您的书	哪本是您的书
哪本书是您的	哪本书是您的
哪本书是你们的	哪本书是你们的
那些家伙是哪个	那些家伙是谁
那人哪个啊	那人谁啊
哪个拿老钱	谁拿了钱
哪个碰老我的枪	谁碰了我的枪
这辆自行车是哪个的	这辆自行车是谁的
这是哪个的书	这是谁的书
这书是哪个的	这书是谁的
那是哪个的环	那是谁的环
